gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,1.016191245,20250904135257078,None,-1,2,1,-7,-1,-2,0,1,1757008377077755451
0,1.023545742,20250904135257085,None,3,1,-2,2,-3,-4,0,5,1757008377085050582
0,1.023709774,20250904135257085,None,3,2,1,4,3,2,1,-1,1757008377085263967
0,1.038861514,20250904135257100,None,-1,-3,-1,-5,-7,-3,-1,1,1757008377100075721
0,1.039151431,20250904135257101,None,-4,2,-1,-8,-3,-3,0,1,1757008377100286960
0,1.04617548,20250904135257108,None,-1,-1,-7,-2,2,-4,-4,2,1757008377107574701
0,1.046374321,20250904135257108,None,2,1,2,-2,-2,-1,2,-1,1757008377107744693
0,1.061222792,20250904135257123,None,3,4,0,-1,-1,-2,-1,-3,1757008377122622728
0,1.061439753,20250904135257123,None,-2,-9,-1,-2,2,0,-3,7,1757008377122813701
0,1.068751097,20250904135257130,None,10,-4,-2,-1,-4,-3,0,-2,1757008377130112409
0,1.068944931,20250904135257130,None,0,3,-1,-5,0,-1,-1,2,1757008377130293607
0,1.076160431,20250904135257138,None,1,-5,-8,1,-2,-2,-1,-2,1757008377137585163
0,1.076358796,20250904135257138,None,2,7,4,2,0,1,1,0,1757008377137735128
0,1.091214419,20250904135257153,None,0,5,-2,1,1,1,-4,-3,1757008377152607917
0,1.091440678,20250904135257153,None,-1,-14,-8,-1,0,1,-2,3,1757008377152791976
0,1.098675967,20250904135257160,None,2,-3,3,-2,0,-1,-1,3,1757008377160086154
0,1.098853589,20250904135257160,None,-2,-3,-6,-5,-7,-5,-4,-7,1757008377160274267
0,1.106158495,20250904135257168,None,-5,2,0,-6,-4,-1,2,-8,1757008377167568445
0,1.106322766,20250904135257168,None,-3,0,-4,-2,0,2,-2,3,1757008377167738914
0,1.121179343,20250904135257183,None,0,2,1,-3,-1,-2,-4,0,1757008377182599782
0,1.121377707,20250904135257183,None,-1,-2,-1,1,-4,-1,0,1,1757008377182780504
0,1.128708125,20250904135257190,None,0,-8,-1,1,0,0,3,-2,1757008377190103292
